id,empCode,empFName,empMName,empLName,empStat,empImg,empPosi,empDoj,empEid,empLoca,empDept,empRepTo,empSpon,empNatl,empGend,empDob,EmpMarr,empIban,empBank,empAcc,empUid,empVisa,empAdd,empPh,empEmail,ref,comment
598,598,Allen,Madrid,Gomez,Active,images/empImg/File_bttEMaz.jpg,Sales Man,3/31/2022,784-1977-1234567-98,Dragon City,Sales,,EcoLab LLC,Oman,Male,4/11/1976,,,Dubai Islamic Bank.,,,,,,AllenA.@yahoo.com,,
655,655,Yashoda,Nand Hari,Lal,Active,,Sales Man,3/26/2023,784-1977-1234567-122,Dubai Maritime City,Accounting,,EcoLab LLC,Oman,Male,4/4/1985,,,Mashreq Neo.,,,,,,YashodaKim Y.@yahoo.com,,
709,709,Jinu,Ambadan,Jose,Active,,Admin Staff,9/13/2019,784-1977-1234567-140,Fun City,Sales,,EcoLab LLC,KSA,Male,9/22/1982,,,Dubai Islamic Bank.,,,,,,JinuKudilungal@yahoo.com,,
741,741,Shashi,Kumar,Yadav,Active,,Admin Staff,6/24/2020,784-1977-1234567-159,Bowling City,Management,,EcoLab LLC,UAE,Male,7/4/1982,,,Emirates National Bank of Dubai (ENBD),,,,,,Shashi@yahoo.com,,
867,867,Roy,Arnado,Delantin,Active,,Admin Staff,12/16/2021,784-1977-1234567-195,Dubai Motor City,operation,,EcoLab LLC,UAE,Male,12/28/1975,,,Abu Dhabi Commercial Bank (ADCB),,,,,,Roy@yahoo.com,,
894,894,Dev,Kumar,Rai,Active,,Admin Staff,5/30/2022,784-1977-1234567-206,Dubai Sustainable City,Sales,,EcoLab LLC,Oman,Male,6/9/1982,,,Mashreq Neo.,,,,,,DevLal@yahoo.com,,
969,969,Mohammed,Javed,Alam,Active,,Admin Staff,1/25/2023,784-1977-1234567-222,Mars Science City,Production,,EcoLab LLC,Oman,Male,2/3/1985,,,Emirates National Bank of Dubai (ENBD),,,,,,MohammedL.@yahoo.com,,
981,981,Raj,Kumar,Giri,Active,,Admin Staff,3/17/2019,784-1977-1234567-232,City Centre Mirdif (Mirdiff),Sales,,EcoLab LLC,KSA,Male,3/27/1976,,,Standard Chartered.,,,,,,Raj@yahoo.com,,
994,994,Michael,Cadiang,Manza,Active,,Admin Staff,5/31/2019,784-1977-1234567-237,Culture Village,Sales,,EcoLab LLC,Bahrain,Male,6/11/1972,,,Abu Dhabi Commercial Bank (ADCB),,,,,,MichaelD.@yahoo.com,,
1008,1008,Jalil,Khadim,Hussain,Active,,Admin Staff,7/30/2019,784-1977-1234567-241,Dubai Aladdin City,Sales,,EcoLab LLC,Bahrain,Male,8/8/1980,,,Mashreq Neo.,,,,,,JalilP.@yahoo.com,,
1074,1074,Suraj,Kailath,Rajan,Active,,Admin Staff,3/26/2020,784-1977-1234567-257,Dubai International City,Finance,,EcoLab LLC,Bahrain,Male,4/7/1973,,,Emirates National Bank of Dubai (ENBD),,,,,,Suraj@yahoo.com,,
1077,1077,Vineesh,Kumar,Unnikrishnan,Active,,Admin Staff,4/25/2020,784-1977-1234567-259,Dubai Knowledge Park,Human Resources,,EcoLab LLC,UAE,Male,5/5/1982,,,Dubai Islamic Bank.,,,,,,VineeshBaby@yahoo.com,,
1078,1078,Stalin,Jose,Pandary,Active,,Admin Staff,5/10/2020,784-1977-1234567-260,Dubai Lifestyle City,Marketing,,EcoLab LLC,KSA,Male,5/20/1983,,,Standard Chartered.,,,,,,StalinKumar@yahoo.com,,
1082,1082,Suman,Cheriyil,Sasy,Active,,Admin Staff,6/24/2020,784-1977-1234567-263,Dubai Mars City,operation,,EcoLab LLC,UAE,Male,7/4/1980,,,International Banks in Dubai.,,,,,,Suman@yahoo.com,,
1098,1098,Joyson,Joseph,Kalaparambath,Inactive,,Admin Staff,11/21/2020,784-1977-1234567-273,Dubai Smart City,Sales,,EcoLab LLC,Bahrain,Male,12/3/1975,,,Dubai Islamic Bank.,,,,,,Joyson@yahoo.com,,
1138,1138,Jessie,Tolntion,Matitu,Active,,Admin Staff,1/20/2021,784-1977-1234567-277,Dubai Textile City,Sales,,EcoLab LLC,Bahrain,Male,2/1/1974,,,International Banks in Dubai.,,,,,,JessieJR Moncano@yahoo.com,,
1146,1146,Emanuel,Rillan,Nunez,Active,,Admin Staff,2/4/2021,784-1977-1234567-278,Expo 2020,Purchasing,,EcoLab LLC,Oman,Male,2/16/1975,,,Emirates National Bank of Dubai (ENBD),,,,,,EmanuelTolntion@yahoo.com,,
1156,1156,Jemuel,Besenio,Vega,Active,,Admin Staff,3/6/2021,784-1977-1234567-280,Fun City,Production,,EcoLab LLC,KSA,Male,3/15/1984,,,Dubai Islamic Bank.,,,,,,JemuelC Dela Cruz@yahoo.com,,
1177,1177,Antonio,Jamora,Acaso,Active,,Admin Staff,8/18/2021,784-1977-1234567-291,Mars City Dubai,Finance,,EcoLab LLC,UAE,Male,8/29/1977,,,International Banks in Dubai.,,,,,,AntonioDe La Cruz@yahoo.com,,
1184,1184,Deepu,Joseph,Muthukunnel,Active,,Admin Staff,11/16/2021,784-1977-1234567-297,The Forbidden City,operation,,EcoLab LLC,Bahrain,Male,11/28/1974,,,Mashreq Neo.,,,,,,DeepuKottayil@yahoo.com,,
1188,1188,Jinu,James,Sobhana,Active,,Admin Staff,12/1/2021,784-1977-1234567-298,The Sustainable City,operation,,EcoLab LLC,Oman,Male,12/13/1975,,,International Banks in Dubai.,,,,,,JinuJoseph@yahoo.com,,
1191,1191,Augustine,Arakkal,Joseph,Active,,Admin Staff,1/15/2022,784-1977-1234567-301,City Centre Me'aisem (Meaisem),Sales,,EcoLab LLC,Bahrain,Male,1/25/1983,,,Dubai Islamic Bank.,,,,,,Augustine@yahoo.com,,
1222,1222,Bilal,Hussain,L.,Active,,Labor,5/15/2022,784-1977-1234567-309,Dream City,Sales,,EcoLab LLC,Bahrain,Male,5/26/1979,,,Standard Chartered.,,,,,,Bilal@yahoo.com,,
1234,1234,Andree,Gloria,Gestopa,Active,,Labor,5/30/2022,784-1977-1234567-310,Dubai Academic City (DAC),Sales,,EcoLab LLC,Oman,Male,6/9/1980,,,Abu Dhabi Islamic Bank (ADIB),,,,,,AndresHussain@yahoo.com,,
1317,1317,Richard,Pinto,Pimentel,Active,,Labor,10/27/2022,784-1977-1234567-320,Dubai Fashion City,Production,,EcoLab LLC,KSA,Male,11/5/1985,,,Emirates National Bank of Dubai (ENBD),,,,,,RichardLaurente@yahoo.com,,
1326,1326,Harie,Domingo,Diampoc,Active,,Driver,12/11/2022,784-1977-1234567-323,Dubai Golf City,Production,,EcoLab LLC,UAE,Male,12/21/1982,,,Standard Chartered.,,,,,,Harie@yahoo.com,,
1342,1342,Narayan,A,Ojha,Active,,Driver,1/1/2019,784-1977-1234567-331,Dubai Logistics City,operation,,EcoLab LLC,UAE,Male,1/12/1975,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Narayan@yahoo.com,,
1352,1352,Bal,Kumar,Sirpali,Active,,Driver,4/1/2019,784-1977-1234567-337,Dubai Mountain City,Sales,,EcoLab LLC,Bahrain,Male,4/12/1972,,,Standard Chartered.,,,,,,BALRolloque@yahoo.com,,
1366,1366,Dilip,Kumar,Khawas,Active,,Driver,10/28/2019,784-1977-1234567-351,Furniture City,Production,,EcoLab LLC,UAE,Male,11/8/1975,,,Standard Chartered.,,,,,,Dilip@yahoo.com,,
1390,1390,Muhammed,Hisham,Shajhan,Active,,Driver,3/26/2020,784-1977-1234567-361,Mars City Dubai,Human Resources,,EcoLab LLC,Bahrain,Male,4/5/1981,,,International Banks in Dubai.,,,,,,MUHAMMEDBarrientos Dela Cruz@yahoo.com,,
1398,1398,Nithin,Manihar,Valiyatharayil,Active,,Accountant,6/24/2020,784-1977-1234567-367,The Forbidden City,Sales,,EcoLab LLC,UAE,Male,7/5/1978,,,Mashreq Neo.,,,,,,NithinE@yahoo.com,,
1420,1420,Sayad,Ghulam,Hussain,Active,,Accountant,9/7/2020,784-1977-1234567-372,City Centre Mirdif (Mirdiff),Sales,,EcoLab LLC,KSA,Male,9/18/1977,,,Standard Chartered.,,,,,,Sayad@yahoo.com,,
1426,1426,Ashvani,Kumar,Kumar,Active,,Account assistant,12/6/2020,784-1977-1234567-378,Dragon City,Sales,,EcoLab LLC,Oman,Male,12/18/1974,,,Dubai Islamic Bank.,,,,,,ASHVANI@yahoo.com,,
1494,1494,Keshar,Dhan,Karki,Inactive,,Account assistant,1/10/2023,784-1977-1234567-429,Jumeirah Village Triangle (JVT),Human Resources,,EcoLab LLC,Bahrain,Male,1/21/1980,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Keshar@yahoo.com,,
1510,1510,Pusta,,Mani Kami,Active,,Account assistant,5/31/2019,784-1977-1234567-445,Cityland Mall,Sales,,EcoLab LLC,Bahrain,Male,6/10/1978,,,International Banks in Dubai.,,,,,,Pusta@yahoo.com,,
1524,1524,Ishwari,Prasad,Oli,Active,,Account assistant,10/13/2019,784-1977-1234567-454,Dubai Design District (D3),Production,,EcoLab LLC,Oman,Male,10/24/1975,,,Abu Dhabi Commercial Bank (ADCB),,,,,,Ishwari@yahoo.com,,
1526,1526,Ram,Prasad,Bhandari,Active,,Account assistant,11/12/2019,784-1977-1234567-456,Dubai Education City,Production,,EcoLab LLC,KSA,Male,11/23/1974,,,Standard Chartered.,,,,,,Ram@yahoo.com,,
1555,1555,Muhammad,Shafi,Kareem,Active,,HR Manager,7/24/2020,784-1977-1234567-473,Dubai Mars City,Sales,,EcoLab LLC,Bahrain,Male,8/5/1975,,,International Banks in Dubai.,,,,,,Muhammad@yahoo.com,,
1558,1558,Hari,Kumar,Pillai,Active,,Account Manager,9/7/2020,784-1977-1234567-476,Dubai Mountain City,Sales,,EcoLab LLC,KSA,Male,9/19/1975,,,Dubai Islamic Bank.,,,,,,Hari@yahoo.com,,
1607,1607,Khyam,Kumar,Bishwakarma,Active,,General Manager,10/2/2021,784-1977-1234567-502,Mars Science City,operation,,EcoLab LLC,Oman,Male,10/12/1983,,,Emirates National Bank of Dubai (ENBD),,,,,,KhyamShamim@yahoo.com,,
1637,1637,Om,Prasad,Sarki,Active,,Operator,4/30/2022,784-1977-1234567-516,City Walk (Citywalk),Purchasing,,EcoLab LLC,KSA,Male,5/11/1977,,,Emirates National Bank of Dubai (ENBD),,,,,,OM@yahoo.com,,
1745,1745,Abdul,Rasal,Yousef,Active,,Operator,3/17/2019,784-1977-1234567-544,Dubai Media City,Sales,,EcoLab LLC,KSA,Male,3/26/1980,,,Emirates National Bank of Dubai (ENBD),,,,,,Abdul@yahoo.com,,
1759,1759,Nidheesh,Kumar,Kamalasanan,Active,,Operator,6/15/2019,784-1977-1234567-550,Dubai Production City,Purchasing,,EcoLab LLC,Oman,Male,6/25/1977,,,International Banks in Dubai.,,,,,,Nidheesh@yahoo.com,,
1770,1770,Zahid,Ali,Ansari,Active,,Operator,11/27/2019,784-1977-1234567-561,Furniture City,Production,,EcoLab LLC,Bahrain,Male,12/6/1980,,,Standard Chartered.,,,,,,Jahid@yahoo.com,,
1772,1772,Abdul,Azim,Ghani,Active,,Operator,12/27/2019,784-1977-1234567-563,Humanitarian City,Finance,,EcoLab LLC,UAE,Male,1/6/1980,,,Mashreq Neo.,,,,,,Abdul@yahoo.com,,
1984,1984,Kiran,Francis,Panakkal,Active,,Operator,2/25/2020,784-1977-1234567-567,Jumeirah Village Circle (JVC),Management,,EcoLab LLC,UAE,Male,3/7/1978,,,Dubai Islamic Bank.,,,,,,Kiran@yahoo.com,,
1992,1992,Ashik,Odiyil,Kuni,Active,,Operator,6/24/2020,784-1977-1234567-575,Old Town Dubai,Sales,,EcoLab LLC,UAE,Male,7/6/1974,,,Standard Chartered.,,,,,,AshikVarghese@yahoo.com,,
1994,1994,Muhammed,Faris,Nalakath,Active,,Operator,7/24/2020,784-1977-1234567-577,The Forbidden City,Sales,,EcoLab LLC,Bahrain,Male,8/5/1973,,,Mashreq Neo.,,,,,,MuhammedNayathodan@yahoo.com,,
2007,2007,Asim,Saeed,Khan,Active,,Operator,6/4/2021,784-1977-1234567-598,Dubai Energy City,Accounting,,EcoLab LLC,Oman,Male,6/16/1975,,,Mashreq Neo.,,,,,,AsimPULLARICKAL@yahoo.com,,
2010,2010,Saif,Ali,Khan,Inactive,,Operator,2/19/2021,784-1977-1234567-591,Dubai Aladdin City,Production,,EcoLab LLC,UAE,Male,3/2/1977,,,Mashreq Neo.,,,,,,SaifSaeed@yahoo.com,,
2085,2085,Sushith,Earully,Sureshkumar,Active,,Operator,4/30/2022,784-1977-1234567-620,Dubai Production City,Production,,EcoLab LLC,KSA,Male,5/9/1985,,,International Banks in Dubai.,,,,,,SUSHITH@yahoo.com,,
2213,2213,Abdul,Raheem,Khan,Active,,Operator,5/31/2019,784-1977-1234567-653,City Centre Shindagha,Information Technology,,EcoLab LLC,Bahrain,Male,6/11/1974,,,Abu Dhabi Islamic Bank (ADIB),,,,,,ABDUL@yahoo.com,,
2268,2268,Muhammad,Nasir,Iqbal,Active,,Operator,4/10/2020,784-1977-1234567-674,Dubai Healthcare City (DHCC),Sales,,EcoLab LLC,Oman,Male,4/21/1976,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Muhammad@yahoo.com,,
2310,2310,Muhammad,,Khan,Active,,Operator,3/6/2021,784-1977-1234567-696,Dubai Sustainable City,Production,,EcoLab LLC,KSA,Male,3/17/1976,,,Mashreq Neo.,,,,,,MUHAMMADUR@yahoo.com,,
2353,2353,Shahid,Ali,Butt,Active,,Operator,3/1/2022,784-1977-1234567-720,City Centre Deira,Purchasing,,EcoLab LLC,KSA,Male,3/10/1985,,,Abu Dhabi Commercial Bank (ADCB),,,,,,SHAHID@yahoo.com,,
