id,empCode,empFName,empMName,empLName,empCName,empStat,empImg,empPosi,empDoj,empEid,empLoca,empDept,empRepTo,empSpon,empNatl,empGend,empDob,empMarr,empIban,empBank,empAcc,empUid,empVisa,empAdd,empPh,empEmail,ref,traDate,action
1555,1555,Muhammad,Shafi,Kareem,Muhammad Shafi Kareem,Active,,HR Manager,7/24/2020,784-1977-1234567-473,Dubai Mars City,Sales,,EcoLab LLC,Bahrain,Male,8/5/1975,,,International Banks in Dubai.,,,,,,Muhammad@yahoo.com,,,
1558,1558,Hari,Kumar,Pillai,Hari Kumar Pillai,Active,,Account Manager,9/7/2020,784-1977-1234567-476,Dubai Mountain City,Sales,,EcoLab LLC,KSA,Male,9/19/1975,,,Dubai Islamic Bank.,,,,,,Hari@yahoo.com,,,
1607,1607,Khyam,Kumar,Bishwakarma,Khyam Kumar Bishwakarma,Active,,General Manager,10/2/2021,784-1977-1234567-502,Mars Science City,operation,,EcoLab LLC,Oman,Male,10/12/1983,,,Emirates National Bank of Dubai (ENBD),,,,,,KhyamShamim@yahoo.com,,,
1637,1637,Om,Prasad,Sarki,Om Prasad Sarki,Active,,Operator,4/30/2022,784-1977-1234567-516,City Walk (Citywalk),Purchasing,,EcoLab LLC,KSA,Male,5/11/1977,,,Emirates National Bank of Dubai (ENBD),,,,,,OM@yahoo.com,,,
1745,1745,Abdul,Rasal,Yousef,Abdul Rasal Yousef,Active,,Operator,3/17/2019,784-1977-1234567-544,Dubai Media City,Sales,,EcoLab LLC,KSA,Male,3/26/1980,,,Emirates National Bank of Dubai (ENBD),,,,,,Abdul@yahoo.com,,,
1759,1759,Nidheesh,Kumar,Kamalasanan,Nidheesh Kumar Kamalasanan,Active,,Operator,6/15/2019,784-1977-1234567-550,Dubai Production City,Purchasing,,EcoLab LLC,Oman,Male,6/25/1977,,,International Banks in Dubai.,,,,,,Nidheesh@yahoo.com,,,
1770,1770,Zahid,Ali,Ansari,Zahid Ali Ansari,Active,,Operator,11/27/2019,784-1977-1234567-561,Furniture City,Production,,EcoLab LLC,Bahrain,Male,12/6/1980,,,Standard Chartered.,,,,,,Jahid@yahoo.com,,,
1772,1772,Abdul,Azim,Ghani,Abdul Azim Ghani,Active,,Operator,12/27/2019,784-1977-1234567-563,Humanitarian City,Finance,,EcoLab LLC,UAE,Male,1/6/1980,,,Mashreq Neo.,,,,,,Abdul@yahoo.com,,,
1984,1984,Kiran,Francis,Panakkal,Kiran Francis Panakkal,Active,,Operator,2/25/2020,784-1977-1234567-567,Jumeirah Village Circle (JVC),Management,,EcoLab LLC,UAE,Male,3/7/1978,,,Dubai Islamic Bank.,,,,,,Kiran@yahoo.com,,,
1992,1992,Ashik,Odiyil,Kuni,Ashik Odiyil Kuni,Active,,Operator,6/24/2020,784-1977-1234567-575,Old Town Dubai,Sales,,EcoLab LLC,UAE,Male,7/6/1974,,,Standard Chartered.,,,,,,AshikVarghese@yahoo.com,,,
1994,1994,Muhammed,Faris,Nalakath,Muhammed Faris Nalakath,Active,,Operator,7/24/2020,784-1977-1234567-577,The Forbidden City,Sales,,EcoLab LLC,Bahrain,Male,8/5/1973,,,Mashreq Neo.,,,,,,MuhammedNayathodan@yahoo.com,,,
2007,2007,Asim,Saeed,Khan,Asim Saeed Khan,Active,,Operator,6/4/2021,784-1977-1234567-598,Dubai Energy City,Accounting,,EcoLab LLC,Oman,Male,6/16/1975,,,Mashreq Neo.,,,,,,AsimPULLARICKAL@yahoo.com,,,
2010,2010,Saif,Ali,Khan,Saif Ali Khan,Inactive,,Operator,2/19/2021,784-1977-1234567-591,Dubai Aladdin City,Production,,EcoLab LLC,UAE,Male,3/2/1977,,,Mashreq Neo.,,,,,,SaifSaeed@yahoo.com,,,
2085,2085,Sushith,Earully,Sureshkumar,Sushith Earully Sureshkumar,Active,,Operator,4/30/2022,784-1977-1234567-620,Dubai Production City,Production,,EcoLab LLC,KSA,Male,5/9/1985,,,International Banks in Dubai.,,,,,,SUSHITH@yahoo.com,,,
2213,2213,Abdul,Raheem,Khan,Abdul Raheem Khan,Active,,Operator,5/31/2019,784-1977-1234567-653,City Centre Shindagha,Information Technology,,EcoLab LLC,Bahrain,Male,6/11/1974,,,Abu Dhabi Islamic Bank (ADIB),,,,,,ABDUL@yahoo.com,,,
2268,2268,Muhammad,Nasir,Iqbal,Muhammad Nasir Iqbal,Active,,Operator,4/10/2020,784-1977-1234567-674,Dubai Healthcare City (DHCC),Sales,,EcoLab LLC,Oman,Male,4/21/1976,,,Abu Dhabi Islamic Bank (ADIB),,,,,,Muhammad@yahoo.com,,,
2310,2310,Muhammad,,Khan,Muhammad Khan,Active,,Operator,3/6/2021,784-1977-1234567-696,Dubai Sustainable City,Production,,EcoLab LLC,KSA,Male,3/17/1976,,,Mashreq Neo.,,,,,,MUHAMMADUR@yahoo.com,,,
2353,2353,Shahid,Ali,Butt,Shahid Ali Butt,Active,,Operator,3/1/2022,784-1977-1234567-720,City Centre Deira,Purchasing,,EcoLab LLC,KSA,Male,3/10/1985,,,Abu Dhabi Commercial Bank (ADCB),,,,,,SHAHID@yahoo.com,,,
